line	predicate	lable
org.apache.commons.math.util.FastMath#double#cosh#?,double#429	yb == recip	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#504	result > ya	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c <= xa	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1738	result != temp	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#866	!(intVal > 709)	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1735	b > cosEpsB	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1733	d > temp2	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1646	sinEpsA >= costB	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c == costA	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#433	result >= recipb	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1687	b < c	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1734	a < epsilon	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#901	z != intPartA	0
org.apache.commons.math.util.FastMath#double#cos#?,double#2242	(Double.NaN)<= 0	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#922	result == fracPartB	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1684	a <= d	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#875	intPartB > extra	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#498	yb > x	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#931	(result)< 0	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#922	result == tempA	1
org.apache.commons.math.util.FastMath#double#polySine#?,double#1591	p > x	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#875	intPartB > x	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1646	sinEpsA <= sintB	1
org.apache.commons.math.util.FastMath#double#cosQ#?,double,double#1756	b < xa	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1685	b == sintA	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#504	result >= temp	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1682	c >= costA	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1679	b != xb	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1682	c < sintB	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c == temp	1
org.apache.commons.math.util.FastMath#double#cosQ#?,double,double#1756	b >= xa	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1735	b >= cosEpsA	1
org.apache.commons.math.util.FastMath#double#cosQ#?,double,double#1758	(sinQ(a,b))== 0	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1682	c >= b	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1681	t < temp2	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#901	z >= intPartA	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#453	(exp(x) / 2.0)> 0	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#433	result >= yaa	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#504	result == yab	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#903	z >= epsilon	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#505	result >= recipb	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1733	d != xa	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#502	ya == yab	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#489	recipb <= yb	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1645	sinEpsB >= cosEpsA	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#471	!(x > 0.25)	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#501	yb == yab	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1679	b == sinEpsB	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c <= sintA	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#922	result >= fracPartB	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1645	sinEpsB >= sinEpsA	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#928	hiPrec[1] < extra	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#928	hiPrec[1] != z	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c <= a	0
org.apache.commons.math.util.FastMath#double#cosQ#?,double,double#1756	b != xb	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#499	ya < yab	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#434	(result)> 0	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#927	hiPrec[0] == z	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#415	temp != x	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1687	b > sintA	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#903	z != intPartB	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#501	yb <= yab	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1683	d <= epsilon	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1682	c <= epsilon	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#900	z == intPartB	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#484	temp >= x	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1646	sinEpsA >= sintB	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1682	c == cosEpsB	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#874	intPartA != extra	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1730	t == sinEpsB	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#928	hiPrec[1] > intPartA	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#927	hiPrec[0] < tempB	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1687	b <= sintA	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1702	b == sintB	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1645	sinEpsB == sintA	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#429	yb <= ya	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1684	a < c	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#420	recipb < yb	1
org.apache.commons.math.util.FastMath#double#polySine#?,double#1591	p >= x	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1681	t == d	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1685	b == t	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1730	t != d	0
org.apache.commons.math.util.FastMath#double#cos#?,double#2247	xa > 3294198.0	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1740	(result)== 0	1
org.apache.commons.math.complex.Complex#?#Complex#?,double,double#99	this.real <= real	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#901	z < intPartA	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1681	t <= sinEpsB	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#489	recipb < recip	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1687	b != epsilon	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1734	a <= cosEpsA	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1702	b <= sinEpsA	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1738	result != epsilon	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#428	temp >= recipa	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1733	d > c	1
org.apache.commons.math.util.FastMath#double#sin#?,double#2195	!(remA > 0.0)	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1646	sinEpsA > sintA	1
org.apache.commons.math.util.FastMath#double#sin#?,double#2144	xa != x	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1679	b > a	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#902	z == x	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1678	a < temp2	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1733	d == xb	1
org.apache.commons.math.complex.Complex#?#Complex#?,double,double#100	this.imaginary <= imaginary	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1685	b <= temp2	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#493	recipa > ya	1
org.apache.commons.math.util.FastMath#double#cos#?,double#2302	(-sinQ(xa,xb))>= 0	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1684	a > xb	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#902	z != intPartA	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#433	result >= temp	1
org.apache.commons.math.util.FastMath#double#sin#?,double#2144	xa < xb	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1730	t >= temp	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#922	result == z	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#489	recipb == ya	1
org.apache.commons.math.util.FastMath#double#sin#?,double#2141	xa == xb	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1684	a <= t	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#928	hiPrec[1] == epsilon	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1678	a != temp	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1683	d >= temp	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#549	(result)!= 0	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#433	result == recipa	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1735	b != costB	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#502	ya <= x	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#927	hiPrec[0] < intPartA	1
org.apache.commons.math.util.FastMath#double#polySine#?,double#1592	p == x2	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1735	b <= temp	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1681	t == costA	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#902	z != extra	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1681	t > c	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c >= d	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1684	a >= xa	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1734	a > temp2	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c == a	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#484	temp > ya	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1733	d <= c	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#928	hiPrec[1] != result	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#502	ya == recipa	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1730	t > cosEpsB	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#501	yb >= x	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#500	temp == recip	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1687	b > a	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#433	result < yaa	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#420	recipb != temp	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#426	yb < yab	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1735	b <= temp2	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#903	z < x	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1678	a == b	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#871	(Double.POSITIVE_INFINITY)!= 0	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1734	a >= temp2	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1733	d != b	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#494	recipb >= yb	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#505	result > yb	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#498	yb < temp	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1678	a == cosEpsB	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#430	ya != recip	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1735	b < c	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1734	a < cosEpsB	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#415	temp >= yaa	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#420	recipb >= yab	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#491	recipb <= recipa	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1732	c < t	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#499	ya >= yaa	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1729	xb != 0.0	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#427	ya != yab	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#428	temp < yaa	1
org.apache.commons.math.util.FastMath#double#polyCosine#?,double#1616	(p)!= 0	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#826	x < 0.0	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#498	yb >= yab	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1687	b < xb	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#874	intPartA != x	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1645	sinEpsB == temp2	1
org.apache.commons.math.util.FastMath#double#polySine#?,double#1598	(p)!= 0	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1679	b <= xa	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1730	t > temp	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#901	z >= extra	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#928	hiPrec[1] > tempA	1
org.apache.commons.math.util.FastMath#double#sin#?,double#2144	xa >= xb	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1645	sinEpsB > sintB	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#428	temp < x	1
org.apache.commons.math.util.FastMath#double#cosh#?,double#422	recipb == x	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1702	b == a	1
org.apache.commons.math.util.FastMath#double#sinh#?,double#494	recipb >= x	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1682	c <= b	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1684	a != c	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#901	z != fracPartA	0
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1645	sinEpsB < temp	0
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#867	hiPrec != null	1
org.apache.commons.math.util.FastMath#double#exp#?,double,double,double[]#903	z >= fracPartA	1
org.apache.commons.math.util.FastMath#double#sinQ#?,double,double#1735	b < temp2	0
org.apache.commons.math.util.FastMath#double#cosh#?,double#428	temp >= yab	0
org.apache.commons.math.util.FastMath#double#sinh#?,double#498	yb < ya	0
