line	predicate	lable
com.google.javascript.rhino.Node#?#Node#?,int,Node,Node#493	sourcePosition == nodeType	1
com.google.javascript.rhino.Node#Node#cloneTree#?#2079	n2 != null	0
com.google.javascript.jscomp.CodePrinter$CompactCodePrinter#void#maybeLineBreak#?#435	!(lineBreak)	0
com.google.javascript.rhino.Node#boolean#isEquivalentTo#?,Node,boolean,boolean#1826	type == Token.CALL	1
com.google.javascript.jscomp.PeepholeOptimizationsPass#void#visit#?,NodeTraversal,Node,Node#78	!(currentVersionOfNode == null)	0
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#379	c != null	0
com.google.javascript.rhino.Node#boolean#isEquivalentTo#?,Node,boolean,boolean#1827	!(this.getBooleanProp(FREE_CALL) != node.getBooleanProp(FREE_CALL))	0
com.google.javascript.jscomp.InlineCostEstimator$CompiledSizeEstimator#?#CompiledSizeEstimator#?,int#62	this.maxCost < costThreshhold	1
com.google.javascript.rhino.jstype.FunctionParamBuilder#boolean#addRequiredParams#?,JSType#63	hasOptionalOrVarArgs()	1
com.google.javascript.rhino.Node#int#mergeLineCharNo#?,int,int#1338	(lineno << COLUMN_BITS | (charno & COLUMN_MASK))> 0	0
com.google.javascript.jscomp.PeepholeReplaceKnownMethods#Node#tryFoldKnownMethods#?,Node#51	subtree.getType() == Token.CALL	1
com.google.javascript.jscomp.parsing.IRFactory#JSDocInfo#handleJsDoc#?,AstNode,Node#259	comment != null	1
com.google.javascript.jscomp.CodeGenerator#void#addArrayList#?,Node#929	!(lastWasEmpty)	0
com.google.javascript.rhino.Node$NumberNode#?#NumberNode#?,double#260	this.number != number	1
com.google.javascript.rhino.jstype.JSType#boolean#isSubtypeHelper#?,JSType,JSType#1020	thisType.isEquivalentTo(thatType)	1
com.google.javascript.jscomp.CodeGenerator#void#add#?,Node,Context#397	!(preserveBlock)	0
com.google.javascript.jscomp.NodeUtil#boolean#isLatin#?,String#2518	!(c > LARGEST_BASIC_LATIN)	0
com.google.javascript.jscomp.NodeUtil#int#precedence#?,int#1175	(1)>= 0	0
com.google.javascript.rhino.jstype.UnionTypeBuilder#JSType#build#?#248	result == null	0
com.google.javascript.rhino.jstype.InstanceObjectType#boolean#defineProperty#?,String,JSType,boolean,Node#89	proto != null && proto.hasOwnDeclaredProperty(name)	1
