org.apache.commons.math3.geometry.euclidean.twod.Vector2D#?#Vector2D#?,double,double#53	8	13885
org.apache.commons.math3.geometry.euclidean.twod.Vector2D#?#Vector2D#?,double,double#52	8	13885
org.apache.commons.math3.geometry.euclidean.twod.SubLine#IntervalsSet#buildIntervalSet#?,Vector2D,Vector2D#88	2	49
org.apache.commons.math3.geometry.euclidean.twod.SubLine#IntervalsSet#buildIntervalSet#?,Vector2D,Vector2D#87	2	49
org.apache.commons.math3.geometry.euclidean.twod.Line#Vector1D#toSubSpace#?,Vector<Euclidean2D>#142	5	10152
org.apache.commons.math3.geometry.euclidean.twod.Line#Vector1D#toSubSpace#?,Vector<Euclidean2D>#141	5	10152
org.apache.commons.math3.geometry.euclidean.threed.Line#Vector3D#intersection#?,Line#173	1	19
org.apache.commons.math3.geometry.euclidean.threed.Line#Vector3D#intersection#?,Line#174	1	19
org.apache.commons.math3.geometry.partitioning.AbstractSubHyperplane#?#AbstractSubHyperplane#?,Hyperplane<S>,Region<T>#26	10	51357
org.apache.commons.math3.geometry.partitioning.AbstractSubHyperplane#?#AbstractSubHyperplane#?,Hyperplane<S>,Region<T>#25	10	51357
org.apache.commons.math3.geometry.euclidean.threed.Line#?#Line#?,Vector3D,Vector3D#32	4	557
org.apache.commons.math3.util.FastMath#double#cos#?,double#1528	0	1950661
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1190	8	18110453
org.apache.commons.math3.util.FastMath#double#cos#?,double#1520	0	6604600
org.apache.commons.math3.util.FastMath#double#cos#?,double#1522	4	9056774
org.apache.commons.math3.util.FastMath#double#cos#?,double#1524	4	2807915
org.apache.commons.math3.util.FastMath#double#cos#?,double#1526	0	2247067
org.apache.commons.math3.geometry.euclidean.threed.Vector3D#double#getNorm#?#221	1	231028
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1199	8	18110453
org.apache.commons.math3.geometry.euclidean.threed.Line#boolean#contains#?,Vector3D#125	1	46
org.apache.commons.math3.util.FastMath#double#cos#?,double#1530	0	2051131
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1194	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1193	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1192	8	18110453
org.apache.commons.math3.geometry.euclidean.oned.OrientedPoint#SubOrientedPoint#wholeHyperplane#?#46	8	15479
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1191	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1198	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1197	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1196	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1195	8	18110453
org.apache.commons.math3.util.FastMath#double#hypot#?,double,double#2443	0	2
org.apache.commons.math3.util.FastMath#double#hypot#?,double,double#2442	4	77808
org.apache.commons.math3.geometry.partitioning.AbstractSubHyperplane#Region<T>#getRemainingRegion#?#53	1	22176
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1189	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1188	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1183	8	18110453
org.apache.commons.math3.geometry.euclidean.twod.Line#void#reset#?,Vector2D,Vector2D#102	4	1446
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1182	8	18110453
org.apache.commons.math3.geometry.euclidean.twod.Line#void#reset#?,Vector2D,Vector2D#101	4	1446
org.apache.commons.math3.geometry.euclidean.twod.Line#void#reset#?,Vector2D,Vector2D#100	4	1446
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1181	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1180	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1187	8	18110453
org.apache.commons.math3.util.FastMath#double#hypot#?,double,double#2439	4	77808
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1186	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1185	8	18110453
org.apache.commons.math3.util.FastMath#double#sinQ#?,double,double#1184	8	18110453
org.apache.commons.math3.geometry.euclidean.threed.Line#void#reset#?,Vector3D,Vector3D#55	4	557
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double,double,double,double#661	18	272058
org.apache.commons.math3.util.FastMath#double#cosQ#?,double,double#1219	4	9053862
