line	predicate	lable
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#275	this.qrRankingThreshold == parRelativeTolerance	1
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#271	this.initialStepBoundFactor <= threshold	1
org.apache.commons.math3.util.FastMath#double#abs#?,double#3017	((x < 0.0) ? -x : (x == 0.0) ? 0.0 : x)== 0	0
org.apache.commons.math3.util.Incrementor#?#Incrementor#?,int,MaxCountExceededCallback#81	!(cb == null)	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#274	this.orthoTolerance != costRelativeTolerance	1
org.apache.commons.math3.util.Incrementor#?#Incrementor#?,int,MaxCountExceededCallback#84	maximalCount != max	1
org.apache.commons.math3.util.Incrementor#void#setMaximalCount#?,int#96	maximalCount != max	1
org.apache.commons.math3.optimization.fitting.WeightedObservedPoint#?#WeightedObservedPoint#?,double,double,double#51	this.x != y	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#274	this.orthoTolerance < parRelativeTolerance	1
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#273	this.parRelativeTolerance == parRelativeTolerance	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#275	this.qrRankingThreshold > initialStepBoundFactor	1
org.apache.commons.math3.linear.MatrixUtils#boolean#isSymmetricInternal#?,RealMatrix,double,boolean#400	!(j < rows)	0
org.apache.commons.math3.linear.DiagonalMatrix#double#getEntry#?,int,int#238	(row == column ? data[row] : 0)== 0	0
org.apache.commons.math3.analysis.polynomials.PolynomialFunction#double#value#?,double#94	(evaluate(coefficients,x))>= 0	0
org.apache.commons.math3.linear.DiagonalMatrix#double#getEntry#?,int,int#238	(row == column ? data[row] : 0)<= 0	0
org.apache.commons.math3.util.Incrementor#?#Incrementor#?,int,MaxCountExceededCallback#84	maximalCount == max	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#274	this.orthoTolerance >= parRelativeTolerance	0
org.apache.commons.math3.linear.DiagonalMatrix#double#getEntry#?,int,int#238	(row == column ? data[row] : 0)>= 0	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#274	this.orthoTolerance >= orthoTolerance	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#272	this.costRelativeTolerance <= threshold	1
org.apache.commons.math3.util.Incrementor#void#setMaximalCount#?,int#96	maximalCount < max	1
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#275	this.qrRankingThreshold <= costRelativeTolerance	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#274	this.orthoTolerance < costRelativeTolerance	1
org.apache.commons.math3.optimization.fitting.WeightedObservedPoint#?#WeightedObservedPoint#?,double,double,double#52	this.y > weight	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#271	this.initialStepBoundFactor == orthoTolerance	1
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#271	this.initialStepBoundFactor >= initialStepBoundFactor	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#275	this.qrRankingThreshold != orthoTolerance	0
org.apache.commons.math3.optimization.direct.BaseAbstractMultivariateVectorOptimizer#void#setUp#?#323	i < dim	0
org.apache.commons.math3.analysis.polynomials.PolynomialFunction#double#evaluate#?,double[],double#139	(result)== 0	1
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#271	this.initialStepBoundFactor < initialStepBoundFactor	1
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#275	this.qrRankingThreshold < costRelativeTolerance	0
org.apache.commons.math3.optimization.fitting.WeightedObservedPoint#?#WeightedObservedPoint#?,double,double,double#51	this.x > weight	1
org.apache.commons.math3.linear.DiagonalMatrix#int#getColumnDimension#?#296	(getRowDimension())> 0	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#272	this.costRelativeTolerance == threshold	1
org.apache.commons.math3.linear.MatrixUtils#boolean#isSymmetricInternal#?,RealMatrix,double,boolean#399	!(i < rows)	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#274	this.orthoTolerance == orthoTolerance	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#275	this.qrRankingThreshold != parRelativeTolerance	0
org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer#?#LevenbergMarquardtOptimizer#?,double,double,double,double,double#274	this.orthoTolerance <= costRelativeTolerance	0
