line	predicate	lable
org.apache.commons.math.complex.Complex#Complex#divide#?,Complex#267	FastMath.abs(c) < FastMath.abs(d)	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1456	a <= x	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1472	b < epsilon	0
org.apache.commons.math.util.FastMath#double#log#?,double#1256	(log(x,null))== 0	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1461	a <= lnzb	1
org.apache.commons.math.complex.Complex#Complex#divide#?,Complex#256	divisor.getReal() == 0.0 && divisor.getImaginary() == 0.0	1
org.apache.commons.math.util.MathUtils#void#checkNotNull#?,Object#2334	!(o == null)	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1474	c >= d	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1477	b > a	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1432	lnza < lnzb	1
org.apache.commons.math.complex.Complex#?#Complex#?,double,double#99	this.real > real	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1467	b != c	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1457	b == d	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1472	b == a	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1429	lnza > x	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1457	b == x	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1477	b > c	1
org.apache.commons.math.complex.Complex#double#getImaginary#?#355	(imaginary)== 0	0
org.apache.commons.math.complex.Complex#Complex#atan#?#579	!(isNaN)	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1475	d <= x	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1432	lnza >= epsilon	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1466	a < epsilon	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1457	b > epsilon	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1477	b <= lnzb	0
org.apache.commons.math.complex.Complex#Complex#add#?,Complex#158	isNaN || addend.isNaN	1
org.apache.commons.math.complex.Complex#Complex#log#?#746	!(isNaN)	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1475	d == lnza	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1459	c != lnza	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1461	a == lnza	1
org.apache.commons.math.complex.Complex#?#Complex#?,double,double#99	this.real < imaginary	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1467	b <= d	0
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1471	a > epsilon	0
org.apache.commons.math.complex.Complex#Complex#atan#?#579	isNaN	1
org.apache.commons.math.util.FastMath#double#log#?,double,double[]#1464	c >= lnza	0
