org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#612	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#634	0	10019
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#613	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#635	0	10019
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#614	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#615	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#637	0	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#616	3	100123
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#638	0	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#617	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#639	0	7
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#618	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#619	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#630	0	10019
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#631	0	10019
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#610	1	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#632	0	10019
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#611	3	51063
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#633	0	10019
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#624	1	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#625	1	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#626	0	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#605	1	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#627	0	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#606	3	31033
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#628	0	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#629	0	10011
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#609	4	41544
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#640	0	28
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#641	0	28
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#620	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#621	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#622	1	30041
org.apache.commons.math3.util.MathArrays#double#linearCombination#?,double[],double[]#644	0	10011
