row 0.0,1.0,1=0.346,0=0.654
row 2.0,1.0,1=0.820,0=0.180
row 5.0,1.0,1=0.668,0=0.332
row 9.0,1.0,1=0.951,0=0.049
row 13.0,1.0,1=0.847,0=0.153
row 16.0,1.0,1=0.847,0=0.153
row 21.0,1.0,1=0.862,0=0.138
row 23.0,1.0,1=0.887,0=0.113
row 27.0,1.0,1=0.684,0=0.316
row 31.0,1.0,1=0.614,0=0.386
row 32.0,1.0,1=0.891,0=0.109
row 34.0,1.0,1=0.792,0=0.208
row 37.0,1.0,1=0.885,0=0.115
row 42.0,1.0,1=0.792,0=0.208
row 44.0,1.0,1=0.567,0=0.433
row 45.0,1.0,1=0.614,0=0.386
row 46.0,1.0,1=0.792,0=0.208
row 48.0,1.0,1=0.567,0=0.433
row 49.0,1.0,1=0.649,0=0.351
row 50.0,1.0,1=0.895,0=0.105
row 51.0,1.0,1=0.792,0=0.208
row 54.0,1.0,1=0.567,0=0.433
row 56.0,1.0,1=0.779,0=0.221
row 59.0,1.0,1=0.498,0=0.502
row 60.0,1.0,1=0.703,0=0.297
row 61.0,1.0,1=0.498,0=0.502
row 65.0,1.0,1=0.591,0=0.409
row 66.0,1.0,1=0.523,0=0.477
row 68.0,1.0,1=0.703,0=0.297
row 69.0,1.0,1=0.523,0=0.477
row 71.0,1.0,1=0.703,0=0.297
row 72.0,1.0,1=0.976,0=0.024
row 73.0,1.0,1=0.986,0=0.014
row 75.0,1.0,1=0.658,0=0.342
row 80.0,1.0,1=0.915,0=0.085
row 82.0,1.0,1=0.898,0=0.102
row 85.0,1.0,1=0.853,0=0.147
row 88.0,1.0,1=0.853,0=0.147
row 91.0,1.0,1=0.853,0=0.147
row 93.0,1.0,1=0.911,0=0.089
row 95.0,1.0,1=0.911,0=0.089
row 98.0,1.0,1=0.869,0=0.131
row 101.0,1.0,1=0.869,0=0.131
row 102.0,1.0,1=0.985,0=0.015
row 103.0,1.0,1=0.899,0=0.101
row 104.0,1.0,1=0.903,0=0.097
row 105.0,1.0,1=0.711,0=0.289
row 107.0,1.0,1=0.899,0=0.101
row 108.0,1.0,1=0.945,0=0.055
row 109.0,1.0,1=0.909,0=0.091
row 110.0,1.0,1=0.883,0=0.117
row 111.0,1.0,1=0.722,0=0.278
row 113.0,1.0,1=0.681,0=0.319
row 115.0,1.0,1=0.818,0=0.182
row 116.0,1.0,1=0.571,0=0.429
row 122.0,1.0,1=0.097,0=0.903
row 123.0,1.0,1=0.824,0=0.176
row 124.0,1.0,1=0.824,0=0.176
row 125.0,1.0,1=0.847,0=0.153
row 126.0,1.0,1=0.850,0=0.150
row 127.0,1.0,1=0.930,0=0.070
row 128.0,1.0,1=0.777,0=0.223
row 131.0,1.0,1=0.931,0=0.069
row 133.0,1.0,1=0.841,0=0.159
row 134.0,1.0,1=0.875,0=0.125
row 136.0,1.0,1=0.847,0=0.153
row 138.0,1.0,1=0.416,0=0.584
row 139.0,1.0,1=0.689,0=0.311
row 140.0,1.0,1=0.689,0=0.311
row 141.0,1.0,1=0.714,0=0.286
row 142.0,1.0,1=0.689,0=0.311
row 143.0,1.0,1=0.714,0=0.286
row 144.0,1.0,1=0.472,0=0.528
row 145.0,1.0,1=0.568,0=0.432
row 146.0,1.0,1=0.828,0=0.172
row 147.0,1.0,1=0.568,0=0.432
row 149.0,1.0,1=0.568,0=0.432
