id	line	column	filename	methodname	varname	vartype	else	return	right
3638	24	4	AVLTree.java	insert	element	T	0	DEF	$ != null
3639	25	6	AVLTree.java	insert	THIS	AVLTree	1	DEF	$.top == null
3640	39	4	AVLTree.java	delete	element	T	0	RET	$ != null
6469	40	6	AVLTree.java	delete	node	Node	0	NIL-FOR	$ != null
3641	41	8	AVLTree.java	delete	THIS	AVLTree	1	RET	node.$.element == element
3641	41	8	AVLTree.java	delete	node	Node	1	RET	$.element == element
3641	41	8	AVLTree.java	delete	element	T	1	RET	node.element == $
3642	46	10	AVLTree.java	delete	THIS	AVLTree	0	RET	node.$.element.compareTo(element) > 0
3642	46	10	AVLTree.java	delete	node	Node	0	RET	$.element.compareTo(element) > 0
3642	46	10	AVLTree.java	delete	element	T	0	RET	node.element.compareTo($) > 0
6470	104	4	AVLTree.java	getNotSmaller	node	Node	0	NIL-FOR	$ != null
3643	105	6	AVLTree.java	getNotSmaller	THIS	AVLTree	1	RET	node.$.element.compareTo(reference) < 0
3643	105	6	AVLTree.java	getNotSmaller	node	Node	1	RET	$.element.compareTo(reference) < 0
3643	105	6	AVLTree.java	getNotSmaller	reference	T	1	RET	node.element.compareTo($) < 0
3644	106	8	AVLTree.java	getNotSmaller	THIS	AVLTree	0	RET	node.$.right == null
3644	106	8	AVLTree.java	getNotSmaller	node	Node	0	RET	$.right == null
3645	113	8	AVLTree.java	getNotSmaller	THIS	AVLTree	0	RET	node.$.left == null
3645	113	8	AVLTree.java	getNotSmaller	node	Node	0	RET	$.left == null
6471	133	4	AVLTree.java	getNotLarger	node	Node	0	NIL-FOR	$ != null
3646	134	6	AVLTree.java	getNotLarger	THIS	AVLTree	1	RET	node.$.element.compareTo(reference) > 0
3646	134	6	AVLTree.java	getNotLarger	node	Node	1	RET	$.element.compareTo(reference) > 0
3646	134	6	AVLTree.java	getNotLarger	reference	T	1	RET	node.element.compareTo($) > 0
3647	135	8	AVLTree.java	getNotLarger	THIS	AVLTree	0	RET	node.$.left == null
3647	135	8	AVLTree.java	getNotLarger	node	Node	0	RET	$.left == null
3648	142	8	AVLTree.java	getNotLarger	THIS	AVLTree	0	RET	node.$.right == null
3648	142	8	AVLTree.java	getNotLarger	node	Node	0	RET	$.right == null
1112	46	4	AbstractFieldMatrix.java	AbstractFieldMatrix	rowDimension	int	0	NotStrictlyPositiveException	$ <= 0
1113	49	4	AbstractFieldMatrix.java	AbstractFieldMatrix	columnDimension	int	0	NotStrictlyPositiveException	$ <= 0
1114	63	4	AbstractFieldMatrix.java	extractField	d	T[][]	0	NullArgumentException	$ == null
1115	66	4	AbstractFieldMatrix.java	extractField	THIS	AbstractFieldMatrix	0	NoDataException	d.$.length == 0
1115	66	4	AbstractFieldMatrix.java	extractField	d	T[][]	0	NoDataException	$.length == 0
1116	69	4	AbstractFieldMatrix.java	extractField	THIS	AbstractFieldMatrix	0	NoDataException	d[0].length == 0
1116	69	4	AbstractFieldMatrix.java	extractField	d	T[][]	0	NoDataException	$[0].length == 0
