line	predicate	lable
org.apache.commons.math.optimization.linear.SimplexSolver#?#SimplexSolver#?,double#50	this.epsilon == epsilon	0
org.apache.commons.math.optimization.linear.SimplexSolver#void#solvePhase1#?,SimplexTableau#167	tableau.getNumArtificialVariables() == 0	1
org.apache.commons.math.optimization.linear.SimplexTableau#RealPointValuePair#getSolution#?#336	!(basicRow != null)	1
org.apache.commons.math.util.MathUtils#int#compareTo#?,double,double,double#369	x < y	0
org.apache.commons.math.optimization.linear.SimplexTableau#Integer#getBasicRow#?,int#276	!(row == null)	0
org.apache.commons.math.optimization.linear.SimplexTableau#int#getWidth#?#385	(tableau.getColumnDimension())> 0	0
org.apache.commons.math.optimization.linear.SimplexTableau#RealPointValuePair#getSolution#?#338	tableau.getEntry(basicRow,j) == 1	1
org.apache.commons.math.optimization.linear.SimplexTableau#void#divideRow#?,int,double#357	!(j < getWidth())	0
org.apache.commons.math.optimization.linear.AbstractLinearOptimizer#void#setMaxIterations#?,int#67	this.maxIterations >= maxIterations	0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction#double#getConstantTerm#?#83	(constantTerm)>= 0	0
org.apache.commons.math.optimization.linear.LinearObjectiveFunction#double#getValue#?,double[]#92	(coefficients.dotProduct(point) + constantTerm)== 0	1
org.apache.commons.math.util.MathUtils#int#compareTo#?,double,double,double#368	(0)!= 0	1
org.apache.commons.math.optimization.RealPointValuePair#?#RealPointValuePair#?,double[],double#50	this.value <= value	0
org.apache.commons.math.optimization.linear.SimplexTableau#int#getRhsOffset#?#436	(getWidth() - 1)== 0	1
org.apache.commons.math.linear.RealMatrixImpl#int#getColumnDimension#?#410	(((data == null) || (data[0] == null)) ? 0 : data[0].length)<= 0	1
org.apache.commons.math.optimization.linear.SimplexTableau#double[][]#createTableau#?,boolean#160	!restrictToNonNegative	1
org.apache.commons.math.linear.RealMatrixImpl#void#setSubMatrix#?,double[][],int,int#315	row > 0	1
org.apache.commons.math.optimization.linear.SimplexTableau#void#subtractRow#?,int,int,double#374	!(j < getWidth())	0
org.apache.commons.math.optimization.linear.SimplexTableau#int#getConstraintTypeCounts#?,Relationship#236	constraint.getRelationship() == relationship	0
org.apache.commons.math.optimization.linear.SimplexSolver#Integer#getPivotRow#?,int,SimplexTableau#84	minRatio != ratio	1
org.apache.commons.math.optimization.RealPointValuePair#?#RealPointValuePair#?,double[],double#50	this.value >= value	0
org.apache.commons.math.optimization.linear.SimplexTableau#double[][]#createTableau#?,boolean#152	i < constraints.size()	0
org.apache.commons.math.optimization.linear.SimplexTableau#void#discardArtificialVariables#?#303	this.numArtificialVariables == height	1
org.apache.commons.math.optimization.linear.SimplexSolver#Integer#getPivotRow#?,int,SimplexTableau#84	minRatio > ratio	1
