id	line	column	filename	methodname	varname	vartype	else	return	right
554	62	8	AVLTree.java	insert	element	T	0	DEF	$ != null
555	63	12	AVLTree.java	insert	THIS	AVLTree	1	DEF	$.top == null
556	82	8	AVLTree.java	delete	element	T	0	RET	$ != null
12420	83	12	AVLTree.java	delete	node	Node	0	NIL-FOR	$ != null
557	86	16	AVLTree.java	delete	THIS	AVLTree	1	RET	node.$.element == element
557	86	16	AVLTree.java	delete	node	Node	1	RET	$.element == element
557	86	16	AVLTree.java	delete	element	T	1	RET	node.element == $
558	89	23	AVLTree.java	delete	THIS	AVLTree	0	RET	node.$.element.compareTo(element) > 0
558	89	23	AVLTree.java	delete	node	Node	0	RET	$.element.compareTo(element) > 0
558	89	23	AVLTree.java	delete	element	T	0	RET	node.element.compareTo($) > 0
12421	153	8	AVLTree.java	getNotSmaller	node	Node	0	NIL-FOR	$ != null
559	154	12	AVLTree.java	getNotSmaller	THIS	AVLTree	1	RET	node.$.element.compareTo(reference) < 0
559	154	12	AVLTree.java	getNotSmaller	node	Node	1	RET	$.element.compareTo(reference) < 0
559	154	12	AVLTree.java	getNotSmaller	reference	T	1	RET	node.element.compareTo($) < 0
560	155	16	AVLTree.java	getNotSmaller	THIS	AVLTree	0	RET	node.$.right == null
560	155	16	AVLTree.java	getNotSmaller	node	Node	0	RET	$.right == null
561	161	16	AVLTree.java	getNotSmaller	THIS	AVLTree	0	RET	node.$.left == null
561	161	16	AVLTree.java	getNotSmaller	node	Node	0	RET	$.left == null
12422	184	8	AVLTree.java	getNotLarger	node	Node	0	NIL-FOR	$ != null
562	185	12	AVLTree.java	getNotLarger	THIS	AVLTree	1	RET	node.$.element.compareTo(reference) > 0
562	185	12	AVLTree.java	getNotLarger	node	Node	1	RET	$.element.compareTo(reference) > 0
562	185	12	AVLTree.java	getNotLarger	reference	T	1	RET	node.element.compareTo($) > 0
563	186	16	AVLTree.java	getNotLarger	THIS	AVLTree	0	RET	node.$.left == null
563	186	16	AVLTree.java	getNotLarger	node	Node	0	RET	$.left == null
564	192	16	AVLTree.java	getNotLarger	THIS	AVLTree	0	RET	node.$.right == null
564	192	16	AVLTree.java	getNotLarger	node	Node	0	RET	$.right == null
1527	77	8	AbstractFieldMatrix.java	AbstractFieldMatrix	rowDimension	int	0	NotStrictlyPositiveException	$ <= 0
1528	81	8	AbstractFieldMatrix.java	AbstractFieldMatrix	columnDimension	int	0	NotStrictlyPositiveException	$ <= 0
1529	99	8	AbstractFieldMatrix.java	extractField	d	T[][]	0	NullArgumentException	$ == null
1530	102	8	AbstractFieldMatrix.java	extractField	THIS	AbstractFieldMatrix	0	NoDataException	d.$.length == 0
1530	102	8	AbstractFieldMatrix.java	extractField	d	T[][]	0	NoDataException	$.length == 0
1531	105	8	AbstractFieldMatrix.java	extractField	THIS	AbstractFieldMatrix	0	NoDataException	d[0].length == 0
1531	105	8	AbstractFieldMatrix.java	extractField	d	T[][]	0	NoDataException	$[0].length == 0
1532	121	8	AbstractFieldMatrix.java	extractField	THIS	AbstractFieldMatrix	0	NoDataException	d.$.length == 0
1532	121	8	AbstractFieldMatrix.java	extractField	d	T[]	0	NoDataException	$.length == 0
12920	184	8	AbstractFieldMatrix.java	add	row	int	0	NIL-FOR	$ < rowCount
12920	184	8	AbstractFieldMatrix.java	add	rowCount	int	0	NIL-FOR	row < $
12921	185	12	AbstractFieldMatrix.java	add	col	int	0	NIL-FOR	$ < columnCount
12921	185	12	AbstractFieldMatrix.java	add	columnCount	int	0	NIL-FOR	col < $
12922	202	8	AbstractFieldMatrix.java	subtract	row	int	0	NIL-FOR	$ < rowCount
12922	202	8	AbstractFieldMatrix.java	subtract	rowCount	int	0	NIL-FOR	row < $
12923	203	12	AbstractFieldMatrix.java	subtract	col	int	0	NIL-FOR	$ < columnCount
12923	203	12	AbstractFieldMatrix.java	subtract	columnCount	int	0	NIL-FOR	col < $
12924	217	8	AbstractFieldMatrix.java	scalarAdd	row	int	0	NIL-FOR	$ < rowCount
12924	217	8	AbstractFieldMatrix.java	scalarAdd	rowCount	int	0	NIL-FOR	row < $
12925	218	12	AbstractFieldMatrix.java	scalarAdd	col	int	0	NIL-FOR	$ < columnCount
12925	218	12	AbstractFieldMatrix.java	scalarAdd	columnCount	int	0	NIL-FOR	col < $
12926	231	8	AbstractFieldMatrix.java	scalarMultiply	row	int	0	NIL-FOR	$ < rowCount
12926	231	8	AbstractFieldMatrix.java	scalarMultiply	rowCount	int	0	NIL-FOR	row < $
12927	232	12	AbstractFieldMatrix.java	scalarMultiply	col	int	0	NIL-FOR	$ < columnCount
12927	232	12	AbstractFieldMatrix.java	scalarMultiply	columnCount	int	0	NIL-FOR	col < $
12928	250	8	AbstractFieldMatrix.java	multiply	row	int	0	NIL-FOR	$ < nRows
12928	250	8	AbstractFieldMatrix.java	multiply	nRows	int	0	NIL-FOR	row < $
12929	251	12	AbstractFieldMatrix.java	multiply	col	int	0	NIL-FOR	$ < nCols
12929	251	12	AbstractFieldMatrix.java	multiply	nCols	int	0	NIL-FOR	col < $
12930	253	16	AbstractFieldMatrix.java	multiply	i	int	0	NIL-FOR	$ < nSum
12930	253	16	AbstractFieldMatrix.java	multiply	nSum	int	0	NIL-FOR	i < $
1533	272	8	AbstractFieldMatrix.java	power	p	int	0	NotPositiveException	$ < 0
1534	276	8	AbstractFieldMatrix.java	power	THIS	AbstractFieldMatrix	0	NonSquareMatrixException	$.isSquare()
1535	280	8	AbstractFieldMatrix.java	power	p	int	0	RET	$ == 0
1536	284	8	AbstractFieldMatrix.java	power	p	int	0	RET	$ == 1
12931	301	8	AbstractFieldMatrix.java	power	THIS	AbstractFieldMatrix	0	NIL-FOR	i < binaryRepresentation.$.length
