line	predicate	lable
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset == i	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset == max	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset <= field	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset <= max	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset > max	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset > i	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#620	val.get(Calendar.YEAR) > 280000000	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset < max	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset < i	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset >= max	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#700	!(!offsetSet)	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset == field	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset != max	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#620	!(val.get(Calendar.YEAR) > 280000000)	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset >= field	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset == min	0
org.apache.commons.lang.time.DateUtils#Date#truncate#?,Date,int#543	date == null	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset < min	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#643	j < fields[i].length	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset >= min	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#643	!(j < fields[i].length)	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#700	!offsetSet	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#642	!(i < fields.length)	1
org.apache.commons.lang.time.DateUtils#Date#truncate#?,Date,int#543	!(date == null)	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#644	fields[i][j] == field	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset <= i	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset > min	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset > field	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset != field	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#644	!(fields[i][j] == field)	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset <= min	0
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset != i	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#646	!(round && roundUp)	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#646	round && roundUp	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset >= i	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#642	i < fields.length	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset < field	1
org.apache.commons.lang.time.DateUtils#void#modify#?,Calendar,int,boolean#704	offset != min	1
